"","","","","","","Pickup.1st.angular","","",""
52,23094,6815,5215,297.895650566077,25,7683.75,1664,1710.8,-45.0309007859784
23094,11396798,3259295,2198538,150329.3214514,11142,3485795.5,739008,759792.6,-21727.3809204641
6815,3259295,1082645,665255,43457.6407199018,3012,1044186,218080,224213.5,-4789.96782957448
5215,2198538,665255,633819,23094,3127,722017.25,166880,171573.5,-4207.69814610572
297.895650566077,150329.3214514,43457.6407199018,23094,2408.6030747901,109.040155630623,47700.0835656224,9532.66081811445,9800.76690362391,-279.770381426411
25,11142,3012,3127,109.040155630623,25,3061,800,822.5,-23.7795214978497
7683.75,3485795.5,1044186,722017.25,47700.0835656224,3061,1202912.9375,245880,252795.375,-6559.30891879621
1664,739008,218080,166880,9532.66081811445,800,245880,53248,54745.6,-1440.98882515131
1710.8,759792.6,224213.5,171573.5,9800.76690362391,822.5,252795.375,54745.6,56285.3200000001,-1481.51663585869
